,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
4067,5419,Close the Door,spotify:track:36uFTQfazovdPx4qfIhiHt,36uFTQfazovdPx4qfIhiHt,Current Joys,1450,0.782,0.18600000000000003,7,1,0.628,0.0,151.024,0.359,0.0552,-14.902000000000001,sad
1276,1276,Lens,spotify:track:371H6HjS4SXGbQ9IVfFUIL,371H6HjS4SXGbQ9IVfFUIL,Frank Ocean,610,0.681,0.333,9,1,0.588,0,118.05,0.564,0.0974,-8.582,party
170,200,better off,spotify:track:7bdYxWPCs46dQ0XLwySOyv,7bdYxWPCs46dQ0XLwySOyv,Jeremy Zucker,97,0.708,0.322,8,0,0.747,9.240000000000001e-05,98.89200000000001,0.46,0.0371,-12.46,sad
2266,2904,Heavenly,spotify:track:1Bh0UzthW8pKEnYg7v40Oa,1Bh0UzthW8pKEnYg7v40Oa,Cigarettes After Sex,1150,0.539,0.431,8,1,0.628,0.653,105.156,0.122,0.0249,-9.298,sad
2523,3242,Yellow Hearts,spotify:track:2W4yABdLc4Jnds67Poi5Nl,2W4yABdLc4Jnds67Poi5Nl,Ant Saunders,1249,0.866,0.43799999999999994,7,1,0.177,0.0,129.039,0.695,0.0719,-8.943,sad
2390,3062,What's Love,spotify:track:2XuKSBnk8QOCFnS7nK3IBY,2XuKSBnk8QOCFnS7nK3IBY,Jake Daniels,1187,0.894,0.27,0,1,0.518,3.26e-06,119.965,0.669,0.172,-10.792,sad
3799,4956,Good Time,spotify:track:1kPpge9JDLpcj15qgrPbYX,1kPpge9JDLpcj15qgrPbYX,Owl City,283,0.56,0.872,3,1,0.0239,6.98e-06,126.05,0.682,0.14,-4.269,sad
176,206,Before You Go,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,69,0.45899999999999996,0.575,3,1,0.604,0.0,111.881,0.183,0.0573,-4.8580000000000005,sad
1261,1419,Fire in Your Eyes,spotify:track:7JlLFgVA4YITCottKuvpf6,7JlLFgVA4YITCottKuvpf6,Cris Wolfe,520,0.807,0.657,10,0,0.113,0.858,120.99,0.556,0.136,-7.614,angry
2339,3001,I Know What You Did Last Summer,spotify:track:7crplFzt7spG80NCbpmuCp,7crplFzt7spG80NCbpmuCp,Shawn Mendes,129,0.657,0.769,9,0,0.12300000000000001,0.0,113.96600000000001,0.7120000000000001,0.115,-4.591,sad
627,664,No Way Out,spotify:track:5ckVVoBR9QzZQgnaMhCsxB,5ckVVoBR9QzZQgnaMhCsxB,Dope,291,0.473,0.9890000000000001,5,0,3.07e-05,0.177,119.986,0.517,0.0659,-3.8089999999999997,angry
4227,5632,seoul (prod. HONNE),spotify:track:73ipE4lfZ53pvBbJPXkiEK,73ipE4lfZ53pvBbJPXkiEK,RM,1882,0.5870000000000001,0.664,0,1,0.344,2.47e-05,99.8,0.45299999999999996,0.0645,-8.63,sad
