,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
0,I Love You,spotify:track:11Fo4dAH31K7UZHGqCkCmE,11Fo4dAH31K7UZHGqCkCmE,0.654,0.859,0,1,0.336,0,114.87,0.704,0.166,-4.321,party,Axwell /\ Ingrosso
1,Issues,spotify:track:1sXUWdKx03aP9Gmzft58rt,1sXUWdKx03aP9Gmzft58rt,0.683,0.427,8,1,0.368,0,113.634,0.426,0.0777,-6.827,party,Julia Michaels
2,Symphony (feat. Zara Larsson),spotify:track:4SPLWgCPoKwULz2UTM8TKg,4SPLWgCPoKwULz2UTM8TKg,0.718,0.609,0,0,0.281,3.29e-05,122.948,0.497,0.0429,-4.699,party,Clean Bandit
3,Pizza,spotify:track:7mJ0h5NPxS77JpzvA3SmGa,7mJ0h5NPxS77JpzvA3SmGa,0.648,0.683,10,0,0.0422,0,95.018,0.784,0.413,-7.602,party,Antilopen Gang
4,Kokaina,spotify:track:1QtFfkWKYRRI4Pj0lPDj1i,1QtFfkWKYRRI4Pj0lPDj1i,0.882,0.506,2,1,0.0638,0,132.897,0.537,0.274,-10.104,party,Miami Yacine
5,Monsta,spotify:track:1orDTlpI02AkHtNN3RAtLV,1orDTlpI02AkHtNN3RAtLV,0.843,0.815,1,1,0.179,0,133.026,0.955,0.0334,-4.061,party,Culcha Candela
6,Slide (feat. Frank Ocean & Migos),spotify:track:6gpcs5eMhJwax4mIfKDYQk,6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,1,0,0.498,1.21e-06,104.066,0.511,0.0545,-3.299,party,Calvin Harris
7,Hamma! - Single Edit,spotify:track:0hxdJjR8w2tiKTGqQN3AS0,0hxdJjR8w2tiKTGqQN3AS0,0.802,0.821,9,1,0.0329,0,100.113,0.596,0.0829,-4.987,party,Culcha Candela
8,Ventilator,spotify:track:5j9djud18VQob3Ec3FUoy0,5j9djud18VQob3Ec3FUoy0,0.483,0.641,1,0,0.0299,0,89.907,0.412,0.32,-8.228,party,Die Orsons
9,There's Nothing Holdin' Me Back,spotify:track:79cuOz3SPQTuFrp8WgftAu,79cuOz3SPQTuFrp8WgftAu,0.857,0.8,2,1,0.381,0,121.996,0.966,0.0583,-4.035,party,Shawn Mendes
10,Despacito - Remix,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,0.694,0.815,2,1,0.229,0,88.931,0.813,0.12,-4.328,party,Luis Fonsi
11,Safari,spotify:track:6hjck7ERXicpsW51UkdHCA,6hjck7ERXicpsW51UkdHCA,0.834,0.768,8,0,0.243,5.18e-06,129.996,0.738,0.205,-7.767,party,Maxwell
12,Ya Salam,spotify:track:5fpujciVjGBhnR2XFx06E7,5fpujciVjGBhnR2XFx06E7,0.935,0.726,1,0,0.0658,0,107.981,0.813,0.209,-5.886,party,Kurdo
13,Mama,spotify:track:4xlrALxuaCf9yZBHJeTSG6,4xlrALxuaCf9yZBHJeTSG6,0.741,0.79,11,0,0.113,0,104.043,0.528,0.0469,-4.086,party,Jonas Blue
14,Strip That Down,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,6EpRaXYhGOB3fj4V2uDkMJ,0.869,0.485,6,1,0.246,0,106.028,0.527,0.0545,-5.595,party,Liam Payne
15,Bros,spotify:track:2PcREcTtGiNTUCM4g2Qg4Z,2PcREcTtGiNTUCM4g2Qg4Z,0.868,0.626,0,1,0.123,1.38e-05,150.014,0.735,0.0448,-7.866,party,RIN
16,Cut It (feat. Young Dolph),spotify:track:376KnY4TrgBITxjlnbnmIy,376KnY4TrgBITxjlnbnmIy,0.875,0.673,7,1,0.135,0,130.0,0.231,0.0932,-4.184,party,O.T. Genasis
17,Rack City,spotify:track:21nFIDqoD1L7ELsprVSzOR,21nFIDqoD1L7ELsprVSzOR,0.929,0.339,1,1,0.0373,1.96e-05,98.986,0.273,0.371,-10.881,party,Tyga
18,Ruhe nach dem Sturm,spotify:track:4ypmv4u5l6x5Muk8WWzvGT,4ypmv4u5l6x5Muk8WWzvGT,0.534,0.563,6,0,0.424,0.000175,150.115,0.355,0.271,-7.13,party,Bonez MC
19,Scared to Be Lonely,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,0,0.0895,0,137.972,0.195,0.0576,-7.786,party,Martin Garrix
20,Unforgettable,spotify:track:3B54sVLJ402zGa6Xm4YGNe,3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,1,0.0293,0.0101,97.985,0.733,0.123,-5.043,party,French Montana
21,2U (feat. Justin Bieber),spotify:track:3A7qX2QjDlPnazUsRk5y0M,3A7qX2QjDlPnazUsRk5y0M,0.548,0.65,8,0,0.219,0,144.937,0.557,0.0591,-5.827,party,David Guetta
22,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",spotify:track:3DXncPQOG4VBw3QHh3S817,3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,1,0.0552,0,80.924,0.811,0.0367,-4.284,party,DJ Khaled
23,More Than You Know,spotify:track:4q8PHoRsPUB52LFylX8Ulz,4q8PHoRsPUB52LFylX8Ulz,0.645,0.741,5,0,0.0323,0,123.07,0.534,0.0339,-4.989,party,Axwell /\ Ingrosso
24,Thunder,spotify:track:0tKcYR2II1VCQWT79i5NrW,0tKcYR2II1VCQWT79i5NrW,0.6,0.81,0,1,0.00683,0.21,167.88,0.298,0.0479,-4.749,party,Imagine Dragons
25,OK,spotify:track:3bWAqKDWg6u1davspr5IkS,3bWAqKDWg6u1davspr5IkS,0.653,0.81,7,0,0.118,0,121.951,0.583,0.0558,-6.032,party,Robin Schulz
26,Your Song,spotify:track:4c2W3VKsOFoIg2SFaO6DY5,4c2W3VKsOFoIg2SFaO6DY5,0.855,0.624,1,1,0.158,0,117.959,0.962,0.0488,-4.093,party,Rita Ora
27,Rude,spotify:track:6RtPijgfPKROxEzTHNRiDp,6RtPijgfPKROxEzTHNRiDp,0.774,0.756,1,1,0.0423,0,144.032,0.931,0.0389,-4.995,party,MAGIC!
28,Just the Way You Are,spotify:track:47Slg6LuqLaX0VodpSCvPt,47Slg6LuqLaX0VodpSCvPt,0.637,0.843,5,1,0.0151,0,109.012,0.434,0.0432,-5.413,party,Bruno Mars
29,Trumpets,spotify:track:6jizk5lOUnfpaZXYMdfeC6,6jizk5lOUnfpaZXYMdfeC6,0.627,0.703,0,1,0.563,0,81.897,0.64,0.236,-4.884,party,Jason Derulo
30,Bright Side,spotify:track:3oOiBqvEnCyChjS5jHCSRE,3oOiBqvEnCyChjS5jHCSRE,0.543,0.681,6,1,0.0205,0,114.904,0.448,0.0414,-5.18,party,Vicetone
31,Whip It! (feat. Chloe Angelides),spotify:track:4viUsO0ZnlZrVCM945K6on,4viUsO0ZnlZrVCM945K6on,0.739,0.78,10,1,0.345,0,131.04,0.79,0.143,-3.942,party,LunchMoney Lewis
32,"Dancing In The Dark - From The ""Home"" Soundtrack",spotify:track:3nlVjrlLMJHC7Flf9impf9,3nlVjrlLMJHC7Flf9impf9,0.795,0.75,1,1,0.177,0,115.005,0.762,0.0526,-3.604,party,Rihanna
33,Steal My Girl,spotify:track:2Bs4jQEGMycglOfWPBqrVG,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,0,0.00433,0,77.217,0.545,0.0347,-5.948,party,One Direction
34,Sun Is Shining,spotify:track:1Gzv0cMy3xm7sgN5gd7WkU,1Gzv0cMy3xm7sgN5gd7WkU,0.474,0.756,2,1,0.0747,0,131.84,0.413,0.0518,-2.973,party,Axwell /\ Ingrosso
35,King Kunta,spotify:track:1vffte5WTHIik37ePfJdo4,1vffte5WTHIik37ePfJdo4,0.884,0.657,6,0,0.00589,0,107.059,0.489,0.0977,-4.569,party,Kendrick Lamar
36,Call on Me - Ryan Riback Remix,spotify:track:14uKsvPJ0quzQvdB6f7Dur,14uKsvPJ0quzQvdB6f7Dur,0.67,0.837,0,1,0.06,0.000694,105.003,0.71,0.0362,-4.031,party,Starley
37,Indian Summer,spotify:track:1mia2jUSO5ea1Pe7xmsLV0,1mia2jUSO5ea1Pe7xmsLV0,0.507,0.824,6,1,0.0246,0.0451,84.992,0.0394,0.0526,-2.501,party,Jai Wolf
38,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",spotify:track:3NdDpSvN911VPGivFlV5d0,3NdDpSvN911VPGivFlV5d0,0.735,0.451,0,1,0.0631,1.3e-05,117.973,0.0862,0.0585,-8.374,party,ZAYN
39,Monica Bellucci,spotify:track:7vuZGOA24pLl6JrEAIvitZ,7vuZGOA24pLl6JrEAIvitZ,0.679,0.605,2,0,0.534,0.0881,194.071,0.488,0.265,-10.004,party,RIN
40,If I'm Lucky,spotify:track:6eUncuJutsFi9BGO1JaBHh,6eUncuJutsFi9BGO1JaBHh,0.897,0.634,4,0,0.00413,0,112.048,0.506,0.161,-6.264,party,Jason Derulo
41,Havana,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0ofbQMrRDsUaVKq2mGLEAb,0.768,0.517,7,0,0.186,3.8e-05,104.992,0.418,0.0312,-4.323,party,Camila Cabello
42,I Like Me Better,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,1wjzFQodRWrPcQ0AnYnvQ9,0.752,0.505,9,1,0.535,2.55e-06,91.97,0.419,0.253,-7.621,party,Lauv
43,Bist Du real (feat. Moé),spotify:track:07e3xDbcDMNF69X8DPaq6q,07e3xDbcDMNF69X8DPaq6q,0.719,0.512,9,1,0.256,0,94.918,0.432,0.0358,-6.306,party,KC Rebell
44,Mi Gente,spotify:track:5r6X3m7zrVHmU2lSp3DXmP,5r6X3m7zrVHmU2lSp3DXmP,0.554,0.688,11,0,0.0184,1.31e-05,104.78,0.283,0.0838,-4.863,party,J Balvin
45,Disco Inferno,spotify:track:5LjYsYZRBWcxUNPEW69qkP,5LjYsYZRBWcxUNPEW69qkP,0.925,0.659,3,1,0.206,7.88e-05,97.018,0.71,0.231,-4.763,party,50 Cent
46,Down,spotify:track:4Hgn5GBgk7EQGIEwGoZorQ,4Hgn5GBgk7EQGIEwGoZorQ,0.599,0.352,5,1,0.69,0.00413,84.968,0.0598,0.255,-14.693,party,Marian Hill
47,Where Is The Love?,spotify:track:0uqPG793dkDDN7sCUJJIVC,0uqPG793dkDDN7sCUJJIVC,0.835,0.687,5,1,0.101,0,94.059,0.828,0.184,-3.18,party,Black Eyed Peas
48,Mine,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,6tHWl8ows5JOZq9Yfaqn3M,0.716,0.805,4,1,0.014,3.1e-06,142.886,0.719,0.0856,-3.839,party,Bazzi
49,Fledermausland,spotify:track:7gNXyyyP8WAe5fvryIpdUM,7gNXyyyP8WAe5fvryIpdUM,0.678,0.778,1,1,0.0295,0,135.923,0.734,0.048,-4.777,party,Trailerpark
50,Walpurgisnacht - Flash Gordon RMX,spotify:track:3vDRVkZTWbHofkFHQYAu0m,3vDRVkZTWbHofkFHQYAu0m,0.734,0.787,0,1,0.289,0,120.083,0.503,0.295,-4.591,party,K.I.Z
51,"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",spotify:track:0RIHDrcRAXtUlnkvTYPW1a,0RIHDrcRAXtUlnkvTYPW1a,0.55,0.779,0,1,0.0135,0,150.069,0.315,0.211,-3.841,party,DJ Khaled
52,Was du Liebe nennst,spotify:track:4hKWUzhQWsOkgT6LnDEASe,4hKWUzhQWsOkgT6LnDEASe,0.874,0.487,2,1,0.393,2.96e-05,144.956,0.746,0.0641,-8.154,party,Bausa
53,Tip Toe (feat. French Montana),spotify:track:2z4pcBLQXF2BXKFvd0BuB6,2z4pcBLQXF2BXKFvd0BuB6,0.845,0.709,10,0,0.0233,0,98.062,0.62,0.0714,-4.547,party,Jason Derulo
54,"Cool (feat. Marc E. Bassy, Gucci Mane)",spotify:track:3vwVxnq3vQ6NxGVxaiuteR,3vwVxnq3vQ6NxGVxaiuteR,0.622,0.755,2,1,0.0573,0,94.579,0.317,0.129,-5.494,party,Felix Jaehn
55,#DAMDAMDAM!,spotify:track:3XT6pOqQ5NBFAreJqAD0No,3XT6pOqQ5NBFAreJqAD0No,0.76,0.817,1,1,0.226,0,103.042,0.631,0.16,-5.459,party,SDP
56,Bon Voyage,spotify:track:1VfSu8qtTf5PMi3d8XVZGj,1VfSu8qtTf5PMi3d8XVZGj,0.792,0.728,6,1,0.0695,0,116.938,0.676,0.12,-5.449,party,Miami Yacine
57,FRIENDS,spotify:track:08bNPGLD8AhKpnnERrAc6G,08bNPGLD8AhKpnnERrAc6G,0.626,0.88,9,0,0.205,0,95.079,0.534,0.0504,-2.384,party,Marshmello
58,Ti amo,spotify:track:66bsUCJWoy09bpuljIXumf,66bsUCJWoy09bpuljIXumf,0.518,0.774,2,0,0.485,0,80.397,0.405,0.335,-4.757,party,Veysel
59,Heute mit mir,spotify:track:03MejMhKBHTeuvgiBTDUhL,03MejMhKBHTeuvgiBTDUhL,0.834,0.84,5,0,0.351,2.1e-05,117.058,0.851,0.0442,-4.777,party,Nimo
60,Cheerleader,spotify:track:5ByIHT8s38diBQf6dkEWbt,5ByIHT8s38diBQf6dkEWbt,0.864,0.738,4,1,0.214,0,100.0,0.938,0.0309,-4.323,party,OMI
61,Leiser,spotify:track:4k5ripwnTRXiOzXUEGhXSz,4k5ripwnTRXiOzXUEGhXSz,0.699,0.555,0,1,0.253,6.93e-06,108.002,0.272,0.0641,-7.403,party,LEA
62,Magisch,spotify:track:4gnuy9VBU2GGrN60UMB79t,4gnuy9VBU2GGrN60UMB79t,0.584,0.655,0,0,0.394,2e-05,98.008,0.539,0.0871,-5.591,party,Olexesh
63,Du liebst mich nicht,spotify:track:1RUuG2Wgac2k2TNVSwnCFj,1RUuG2Wgac2k2TNVSwnCFj,0.581,0.724,8,0,0.0129,1.8e-05,177.892,0.596,0.222,-5.565,party,Ado Kojo
64,I Just Had Sex,spotify:track:1OmxpKVSvn0LGcM3SQS4OV,1OmxpKVSvn0LGcM3SQS4OV,0.622,0.802,6,1,0.0235,0,167.983,0.818,0.119,-4.735,party,The Lonely Island
65,X,spotify:track:39N9RPD9MRb5WmoLzNzPeA,39N9RPD9MRb5WmoLzNzPeA,0.595,0.773,9,0,0.0364,0.00108,180.073,0.711,0.0549,-4.736,party,Nicky Jam
66,Say Something (feat. Chris Stapleton),spotify:track:1LhMopPAallLeaeNutqbgS,1LhMopPAallLeaeNutqbgS,0.707,0.632,10,1,0.103,1.09e-05,97.04,0.372,0.0789,-7.031,party,Justin Timberlake
67,Crazy,spotify:track:4VfZfAGV8Zh0qsoiKLOk7w,4VfZfAGV8Zh0qsoiKLOk7w,0.766,0.763,11,0,0.433,8.46e-05,114.997,0.482,0.121,-5.095,party,Lost Frequencies
68,In My Head,spotify:track:1PBk2knn4anq0vaS5KGDG2,1PBk2knn4anq0vaS5KGDG2,0.548,0.895,0,1,0.00622,0.0184,127.829,0.616,0.0392,-2.794,party,Galantis
69,Something Just Like This,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,1dNIEtp7AY3oDAKCGg2XkH,0.607,0.649,11,0,0.0306,2.46e-05,102.996,0.505,0.0362,-6.695,party,The Chainsmokers
70,One Dance,spotify:track:0JoaFxLgrqbWutREzcZBzS,0JoaFxLgrqbWutREzcZBzS,0.771,0.629,1,1,0.00802,0.00252,103.918,0.362,0.0511,-5.79,party,Drake
71,Panda,spotify:track:46THN9jjPWhSqFUu6YsBhv,46THN9jjPWhSqFUu6YsBhv,0.679,0.734,10,0,0.0241,1.65e-06,145.028,0.245,0.444,-5.542,party,Desiigner
72,Fast Car,spotify:track:6OZh916QF8XNunWaP97WEZ,6OZh916QF8XNunWaP97WEZ,0.459,0.587,9,1,0.453,0,113.901,0.581,0.0785,-6.983,party,Jonas Blue
73,Bonbon,spotify:track:3Uz8ZcQdlOF2qE6q1rcVpw,3Uz8ZcQdlOF2qE6q1rcVpw,0.632,0.681,0,0,0.128,1.53e-05,126.477,0.633,0.115,-5.023,party,Era Istrefi
74,Lass sie tanzen (Square Dance) [feat. Namika],spotify:track:2nJo4HuSBcqVFH74Ipb4nY,2nJo4HuSBcqVFH74Ipb4nY,0.731,0.675,7,0,0.0681,0,135.952,0.593,0.0938,-7.143,party,Ali As
75,Die Nacht von Freitag auf Montag,spotify:track:27iLwU19SCH7tDeU64AieP,27iLwU19SCH7tDeU64AieP,0.712,0.71,7,1,0.16,0,147.859,0.844,0.189,-4.115,party,SDP
76,Teenage Dirtbag,spotify:track:25FTMokYEbEWHEdss5JLZS,25FTMokYEbEWHEdss5JLZS,0.625,0.85,4,1,0.346,0.000233,94.661,0.633,0.0495,-3.904,party,Wheatus
77,A Little Party Never Killed Nobody (All We Got),spotify:track:36482hNESSwELpr9sS3NbE,36482hNESSwELpr9sS3NbE,0.761,0.619,5,0,0.00959,3.18e-06,129.998,0.516,0.175,-5.741,party,Fergie
78,Scheiß auf eure Party,spotify:track:1Syhm4vkn6n2DYuFnyI60s,1Syhm4vkn6n2DYuFnyI60s,0.745,0.551,6,0,0.05,0,122.011,0.15,0.235,-9.058,party,Ufo361
79,Ohne mein Team,spotify:track:6G3C7cSVBxgbUiRbDtwQhR,6G3C7cSVBxgbUiRbDtwQhR,0.777,0.801,1,0,0.151,2.03e-05,129.954,0.664,0.101,-6.146,party,Bonez MC
80,Price Tag,spotify:track:2fTsFCKRFQ5M0igJgabnLA,2fTsFCKRFQ5M0igJgabnLA,0.636,0.831,5,1,0.0294,3.85e-06,175.015,0.668,0.182,-3.945,party,Jessie J
81,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",spotify:track:6qC8Jj1XOxknPm8N7EbzKX,6qC8Jj1XOxknPm8N7EbzKX,0.458,0.623,5,1,0.322,5.08e-06,147.635,0.417,0.0505,-7.109,party,Jessie J
82,Hundred Miles,spotify:track:5dyDkXi1bnQKSyIdO0JXp8,5dyDkXi1bnQKSyIdO0JXp8,0.479,0.714,7,0,0.025,0.0153,98.23,0.49,0.109,-3.776,party,Yall
83,Closer,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,1,0.414,0,95.01,0.661,0.0338,-5.599,party,The Chainsmokers
84,Don't Mind,spotify:track:27PmvZoffODNFW2p7ehZTQ,27PmvZoffODNFW2p7ehZTQ,0.464,0.771,8,1,0.0235,0,158.777,0.69,0.336,-4.503,party,Kent Jones
85,Sex (Cheat Codes X Kris Kross Amsterdam),spotify:track:4b7FMWTw3y69EahB3h0Cd4,4b7FMWTw3y69EahB3h0Cd4,0.51,0.692,0,1,0.00451,0,102.42,0.209,0.171,-5.825,party,Cheat Codes
86,Into You,spotify:track:7yHEDfrJNd0zWOfXwydNH0,7yHEDfrJNd0zWOfXwydNH0,0.636,0.727,9,1,0.0161,1.12e-06,107.988,0.358,0.106,-5.852,party,Ariana Grande
87,Lush Life,spotify:track:0r4SsYcwvd8URat6AS2m6f,0r4SsYcwvd8URat6AS2m6f,0.694,0.712,7,0,0.133,0,98.022,0.799,0.046,-3.923,party,Zara Larsson
88,Hotline Bling,spotify:track:2FBUoWkIuQXwayw2RNo5l6,2FBUoWkIuQXwayw2RNo5l6,0.903,0.62,2,1,0.00347,0.000119,134.96,0.539,0.0587,-8.094,party,Drake
89,Ain't Your Mama,spotify:track:2hgzdQdnfWwtdpZbhZlV72,2hgzdQdnfWwtdpZbhZlV72,0.757,0.678,8,0,0.0472,9.14e-06,120.075,0.82,0.233,-5.529,party,Jennifer Lopez
90,Without Me,spotify:track:5pBvNeOAJ54zgd5lEOmM3b,5pBvNeOAJ54zgd5lEOmM3b,0.919,0.657,7,1,0.00293,0,112.23,0.659,0.0907,-2.823,party,Eminem
91,Final Song,spotify:track:4qqArAiTPueDxIp7cf87h7,4qqArAiTPueDxIp7cf87h7,0.695,0.672,1,0,0.014,8.44e-05,104.988,0.245,0.0345,-6.109,party,MØ
92,Palmen aus Plastik,spotify:track:1YAyUp3ridmKKP8egbqSu3,1YAyUp3ridmKKP8egbqSu3,0.641,0.674,9,0,0.0112,0.00284,104.939,0.299,0.0634,-6.962,party,Bonez MC
93,Policeman - Original Mix,spotify:track:2nTByjRofxlw3QyoKXUXIR,2nTByjRofxlw3QyoKXUXIR,0.632,0.866,6,1,0.01,0.000141,104.874,0.721,0.082,-6.046,party,Eva Simons
94,It’s My Birthday,spotify:track:1zaaaGPDU60KYY60M4JVl2,1zaaaGPDU60KYY60M4JVl2,0.76,0.718,5,0,0.0817,0,100.01,0.419,0.0476,-4.443,party,will.i.am
95,Gasolina,spotify:track:1gLJyv9IKK32JoAYf7rLra,1gLJyv9IKK32JoAYf7rLra,0.853,0.808,0,1,0.331,5.44e-06,96.02,0.729,0.0575,-6.494,party,Daddy Yankee
96,Rockabye (feat. Sean Paul & Anne-Marie),spotify:track:5knuzwU65gJK7IF5yJsuaW,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,0,0.406,0,101.965,0.742,0.0523,-4.068,party,Clean Bandit
97,Das traurigste Mädchen der Stadt,spotify:track:1fTFxlloW2D9rd7rjoIZbN,1fTFxlloW2D9rd7rjoIZbN,0.776,0.878,0,1,0.172,0,120.052,0.961,0.0691,-5.422,party,Fettes Brot
98,Shake Ya Ass,spotify:track:1jRzdY7oUBOhrylNtiMtBD,1jRzdY7oUBOhrylNtiMtBD,0.914,0.607,7,1,0.0626,0,98.054,0.666,0.32,-5.658,party,Mystikal
99,Careless,spotify:track:3z7O4xSTDTZNI5HvcuzLPs,3z7O4xSTDTZNI5HvcuzLPs,0.803,0.831,11,1,0.354,0,124.042,0.515,0.0665,-4.984,party,Freddie Gibbs
100,Like A G6,spotify:track:2s5YN9O8Qv25BjQobPHWVZ,2s5YN9O8Qv25BjQobPHWVZ,0.431,0.862,7,0,0.00618,0,124.93,0.696,0.428,-7.005,party,Far East Movement
101,Shots,spotify:track:1V4jC0vJ5525lEF1bFgPX2,1V4jC0vJ5525lEF1bFgPX2,0.825,0.856,1,1,0.00851,1.4e-06,128.016,0.207,0.0476,-1.912,party,LMFAO
102,Starships,spotify:track:2EBCVPNAG46nbgs6jXPGvv,2EBCVPNAG46nbgs6jXPGvv,0.747,0.716,11,0,0.135,0,125.008,0.751,0.075,-2.457,party,Nicki Minaj
103,Where Them Girls At (feat. Nicki Minaj & Flo Rida),spotify:track:7ks6AZmFcm3Y6PGGxGSmlB,7ks6AZmFcm3Y6PGGxGSmlB,0.666,0.876,3,1,0.055,0,129.884,0.552,0.0414,-3.078,party,David Guetta
104,Danza Kuduro,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,1,0.0846,0,88.917,0.878,0.28,-4.89,party,Don Omar
105,Break Your Heart,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,1CdqVF1ywD0ZO1zXtB9yWa,0.666,0.899,8,1,0.00155,0,122.05,0.629,0.028,-4.676,party,Taio Cruz
106,Umbrella,spotify:track:2Y2ud3awMZHDxOCpDebiv3,2Y2ud3awMZHDxOCpDebiv3,0.583,0.829,1,1,0.00864,0,174.028,0.575,0.134,-4.603,party,Rihanna
107,TiK ToK,spotify:track:5OMwQFBcte0aWFJFqrr5oj,5OMwQFBcte0aWFJFqrr5oj,0.755,0.832,2,0,0.0746,1.27e-06,120.032,0.735,0.116,-2.741,party,Kesha
108,Dynamite,spotify:track:2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,1,0.00379,0,119.975,0.816,0.0859,-3.724,party,Taio Cruz
109,Time of Our Lives,spotify:track:6SEizXg6WimNyK8NdI9biV,6SEizXg6WimNyK8NdI9biV,0.729,0.801,5,0,0.0895,0,123.995,0.764,0.0529,-5.698,party,Pitbull
110,Hips Don't Lie (feat. Wyclef Jean),spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,0,0.284,0,100.024,0.756,0.0712,-5.892,party,Shakira
111,Bumpy Ride,spotify:track:4flXUmmCKe1GAAvIoptHq7,4flXUmmCKe1GAAvIoptHq7,0.706,0.842,0,0,0.0476,0,104.958,0.818,0.038,-4.628,party,Mohombi
112,Don't Stop The Music,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,0,0.0336,6.92e-05,122.668,0.542,0.0643,-5.582,party,Rihanna
113,Wild Ones (feat. Sia),spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,1NpW5kyvO4XrNJ3rnfcNy3,0.608,0.86,5,0,0.0991,0,127.075,0.437,0.0554,-5.324,party,Flo Rida
114,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",spotify:track:7rIhVsWn8W82shpRiPDrXc,7rIhVsWn8W82shpRiPDrXc,0.669,0.939,3,1,0.192,0,129.014,0.53,0.161,-3.209,party,Pitbull
115,Last Friday Night (T.G.I.F.),spotify:track:455AfCsOhhLPRc68sE01D8,455AfCsOhhLPRc68sE01D8,0.649,0.815,3,0,0.00125,4.31e-05,126.03,0.765,0.0415,-3.796,party,Katy Perry
116,S&M,spotify:track:0C4ejWmOTMv8vuYj85mf8m,0C4ejWmOTMv8vuYj85mf8m,0.767,0.682,1,1,0.0113,0.00016,127.975,0.833,0.042,-5.02,party,Rihanna
117,Evacuate The Dancefloor,spotify:track:2V1YCJiYHpv7MfsU5fvvYf,2V1YCJiYHpv7MfsU5fvvYf,0.76,0.696,0,1,0.0195,0,127.029,0.903,0.0491,-5.811,party,Cascada
118,In Da Club,spotify:track:4RY96Asd9IefaL3X4LOLZ8,4RY96Asd9IefaL3X4LOLZ8,0.902,0.72,6,0,0.26,0,90.059,0.805,0.347,-2.776,party,50 Cent
119,Sorry,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0,0,0.0797,0,99.945,0.41,0.045,-3.669,party,Justin Bieber
120,Summer,spotify:track:6YUTL4dYpB9xZO5qExPf05,6YUTL4dYpB9xZO5qExPf05,0.596,0.856,4,0,0.0211,0.0178,127.949,0.743,0.0346,-3.556,party,Calvin Harris
121,Timber (feat. Ke$ha),spotify:track:3cHyrEgdyYRjgJKSOiOtcS,3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,1,0.0295,0,129.992,0.788,0.0981,-4.087,party,Pitbull
122,Say It Right,spotify:track:4GnU0spEhkpBhqhVjsX6KO,4GnU0spEhkpBhqhVjsX6KO,0.737,0.917,5,0,0.0125,0.000361,123.998,0.338,0.0395,-3.534,party,SA
123,No Money,spotify:track:0gb1J5UrTpzaU1s3nupgCd,0gb1J5UrTpzaU1s3nupgCd,0.671,0.916,6,0,0.0282,0.00762,126.01,0.803,0.0397,-4.014,party,Galantis
124,Don't You Worry Child - Radio Edit,spotify:track:2V65y3PX4DkRhy1djlxd9p,2V65y3PX4DkRhy1djlxd9p,0.612,0.84,11,0,0.112,0,129.042,0.438,0.0509,-3.145,party,Swedish House Mafia
125,Just Dance,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,1dzQoRqT5ucxXVaAhTcT0J,0.822,0.739,1,0,0.0264,4.26e-05,118.992,0.745,0.0311,-4.541,party,Lady Gaga
126,California Gurls,spotify:track:6tS3XVuOyu10897O3ae7bi,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,1,0.00446,0,125.014,0.425,0.0569,-3.729,party,Katy Perry
