,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
4673,Break My Heart,spotify:track:017PF4Q3l4DBUiWoXk4OWT,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,0,0.167,1.39e-06,113.013,0.467,0.0883,-3.434,party,Dua Lipa
4674,OUT WEST (feat. Young Thug),spotify:track:6gi6y1xwmVszDWkUqab1qw,6gi6y1xwmVszDWkUqab1qw,0.802,0.591,8,1,0.0104,0,139.864,0.309,0.225,-4.895,party,JACKBOYS
4675,Intentions,spotify:track:364dI1bYnvamSnBJ8JcNzN,364dI1bYnvamSnBJ8JcNzN,0.811,0.553,9,1,0.317,0,148.014,0.86,0.0552,-6.644,party,Justin Bieber
4676,play w/ me,spotify:track:3xHxEedrD51HCQ91Hlt5qL,3xHxEedrD51HCQ91Hlt5qL,0.743,0.548,6,1,0.591,2.1e-06,147.966,0.755,0.181,-7.136,party,Bailey Bryan
4677,BOP,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11,1,0.189,0,126.77,0.836,0.367,-3.909,party,DaBaby
4678,Savage,spotify:track:55CHeLEfn5iJ0IIkgaa4si,55CHeLEfn5iJ0IIkgaa4si,0.843,0.741,11,1,0.0252,0,168.983,0.68,0.334,-5.609,party,Megan Thee Stallion
4679,Yummy,spotify:track:41L3O37CECZt3N7ziG2z7l,41L3O37CECZt3N7ziG2z7l,0.687,0.514,9,0,0.366,0,145.921,0.494,0.0897,-6.612,party,Justin Bieber
4680,Chi Chi (feat. Chris Brown) - Croatia Squad Remix,spotify:track:3faZ2pjQRByXR9UWWPV9vr,3faZ2pjQRByXR9UWWPV9vr,0.743,0.93,4,0,0.0106,1.52e-05,122.022,0.562,0.0766,-3.821,party,Trey Songz
4681,I Think I Luv Her (feat. YG),spotify:track:6VYXuUz1nYMap8gtqeIrQB,6VYXuUz1nYMap8gtqeIrQB,0.902,0.608,11,1,0.000456,0,84.001,0.836,0.27,-6.238,party,Tyla Yaweh
4682,Forever (feat. Post Malone & Clever),spotify:track:2ZlCGeK30BLRNSPC832pNZ,2ZlCGeK30BLRNSPC832pNZ,0.825,0.483,8,0,0.538,1.48e-05,139.98,0.892,0.08,-5.746,party,Justin Bieber
4683,My Oh My (feat. DaBaby),spotify:track:3yOlyBJuViE2YSGn3nVE1K,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,1,0.018,1.29e-05,105.046,0.383,0.0296,-6.024,party,Camila Cabello
