,😂,😒,😩,😭,😍,😞,👌,😊,❤,😏,😁,🎶,😳,💯,😴,😌,☺️,🙌,💕,😑,😅,🙏,😕,😘,💓,😐,💁,😔,🙈,😫,✌,😎,😡,👍,😢,😪,😋,😤,✋,😷,👏,👀,🔫,😣,😈,😓,💔,♡,🎵,🙊,😉,💀,😖,😁,😜,😠,🙅,💪,👊,💜,💖,💙,😬,✨,💛,☺
valence,82.65384615384616,23.961538461538463,22.153846153846153,24.615384615384613,86.26923076923076,21.346153846153847,67.28,81.69230769230771,82.88461538461539,58.04,81.69230769230771,58.625,40.884615384615394,65.34615384615384,42.192307692307686,52.230769230769226,77.80769230769229,63.80769230769231,77.96153846153847,38.46153846153846,66.57692307692308,59.115384615384606,31.57692307692308,68.69230769230771,65.5,42.730769230769226,53.653846153846146,26.26923076923077,55.80769230769231,22.69230769230769,63.03846153846154,75.0,18.76923076923077,64.72,19.53846153846154,19.69230769230769,78.41666666666667,31.64,51.16666666666666,33.96153846153846,68.53846153846153,48.125,37.78260869565217,24.961538461538463,53.769230769230774,26.0,28.80769230769231,58.30769230769231,61.96,51.64,72.42307692307692,39.884615384615394,28.73076923076923,82.80769230769229,76.03846153846153,24.884615384615387,40.92307692307692,63.2,52.68,73.38461538461539,76.76923076923076,71.23076923076924,39.730769230769226,62.346153846153854,72,75
arousal,81.03846153846153,31.84615384615385,37.846153846153854,51.653846153846146,81.53846153846153,21.615384615384613,58.25,67.64,70.07692307692308,56.44,77.92307692307692,57.95833333333334,60.03846153846154,77.34615384615384,19.76923076923077,38.846153846153854,61.69230769230769,66.0,69.64,42.92307692307692,62.57692307692307,63.75,37.24,71.11538461538461,63.57692307692307,46.07692307692307,54.64,29.12,54.96153846153846,61.346153846153854,56.08,65.61538461538461,69.73076923076923,58.846153846153854,35.57692307692308,33.19230769230769,70.91666666666667,62.96153846153846,57.84,39.57692307692308,67.69230769230771,62.48,65.54166666666667,49.46153846153846,75.0,33.653846153846146,46.57692307692307,52.19230769230769,62.07692307692307,58.57692307692307,66.46153846153847,44.769230769230774,51.730769230769226,81.07692307692308,81.34615384615384,57.615384615384606,54.2,74.65384615384616,68.84615384615384,65.30769230769229,70.11538461538461,65.76923076923077,55.48,65.03846153846153,65,70
