,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
3168,Dance Hall Days,spotify:track:7KxvOqV1fMmlV48pZ4asWI,7KxvOqV1fMmlV48pZ4asWI,Wang Chung,708,0.668,0.702,0,1,0.272,0.0151,102.646,0.523,0.0418,-10.529,sex
3169,I Ran (So Far Away),spotify:track:2ASXXba2oQOxNGi0ttXSxY,2ASXXba2oQOxNGi0ttXSxY,A Flock Of Seagulls,662,0.557,0.793,2,1,0.000522,0.0112,145.747,0.57,0.0287,-6.861,sex
3170,Thunderstruck,spotify:track:57bgtoPSgt236HzfBOd8kj,57bgtoPSgt236HzfBOd8kj,AC/DC,294,0.502,0.89,4,1,0.000147,0.0117,133.52,0.259,0.0364,-5.175,sex
3171,Bad Medicine,spotify:track:72hcFp4tYkd3dbNA9dZ3Pv,72hcFp4tYkd3dbNA9dZ3Pv,Bon Jovi,1345,0.555,0.973,9,1,0.048,0,118.642,0.805,0.035,-3.804,sex
3172,War/Fanfare from Rocky IV,spotify:track:409WAJPEw4a73vs2c5FIZI,409WAJPEw4a73vs2c5FIZI,Vince DiCola,1355,0.381,0.63,1,0,0.111,0.436,93.742,0.0575,0.0315,-8.983,sex
3173,"Living in America - From ""Rocky IV"" Soundtrack",spotify:track:4Y5yjzs9FFw5qIgfZBd43I,4Y5yjzs9FFw5qIgfZBd43I,James Brown,1218,0.754,0.854,0,1,0.00148,0.00692,113.908,0.761,0.0363,-7.114,sex
3174,"The Sweetest Victory - From ""Rocky IV"" Soundtrack",spotify:track:7aZcGRPjgCu7pv9LL5Nxic,7aZcGRPjgCu7pv9LL5Nxic,Touch,1356,0.626,0.812,2,1,0.278,3.52e-06,131.264,0.796,0.0292,-5.635,sex
3175,Gonna Fly Now,spotify:track:6C2PfemHQul77DVpnvuAIs,6C2PfemHQul77DVpnvuAIs,Bill Conti,1329,0.415,0.538,9,0,0.4,0.767,95.121,0.449,0.0368,-12.71,sex
3176,"Training Montage - From ""Rocky IV"" Soundtrack",spotify:track:5PKtqiUwkjveVYzmj4gMnz,5PKtqiUwkjveVYzmj4gMnz,Vince DiCola,1355,0.578,0.748,7,1,0.0145,0.723,81.107,0.345,0.0546,-8.702,sex
3177,Come and Go - Falcons Remix,spotify:track:3zWmaj9pUahvZNbvmm3bCe,3zWmaj9pUahvZNbvmm3bCe,TOKiMONSTA,1357,0.79,0.666,10,1,0.0118,0.000107,102.029,0.567,0.0447,-6.078,sex
