,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
18,0.196,Justin Bieber,happy,0.6729999999999999,0.7040000000000001,0.0,6,-8.056000000000001,1,37i9dQZF1DXdPec7aLTmlC,0.36,86.919,Holy (feat. Chance The Rapper),0.37200000000000005,wonder,16.796714494150724,0.0,4.167073137329716,18.68834809141684,12.530440422234303,3.8043205683252386,4.147303135928713,12.056253020111392,4.04857614376652
19,0.132,Seeb,happy,0.5579999999999999,0.905,0.00055,9,-4.121,1,37i9dQZF1DXdPec7aLTmlC,0.0414,102.905,Colourblind,0.36200000000000004,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.29100000000000004,HEDEGAARD,happy,0.742,0.7509999999999999,0.0,1,-6.1370000000000005,0,37i9dQZF1DXdPec7aLTmlC,0.0622,99.999,Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),0.175,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.092,Jawsh 685,happy,0.8270000000000001,0.73,1.3500000000000001e-05,1,-5.324,1,37i9dQZF1DXdPec7aLTmlC,0.0934,95.00299999999999,Sweet & Sour (feat. Lauv & Tyga),0.679,wonder,17.271969724752694,0.0,0.0,0.0,0.0,0.0,0.0,5.576895624750347,0.0
22,0.19699999999999998,Sigala,happy,0.6759999999999999,0.7859999999999999,0.0,1,-4.529,1,37i9dQZF1DXdPec7aLTmlC,0.0478,125.98299999999999,Lasting Lover,0.483,wonder,4.946393025367902,0.0,0.0,0.0,0.0,9.103069940310919,29.367105226553605,0.0,0.0
23,0.27399999999999997,HRVY,happy,0.5579999999999999,0.877,0.0,10,-3.392,1,37i9dQZF1DXdPec7aLTmlC,0.145,99.988,Good Vibes,0.762,wonder,12.090010628072024,0.0,0.0,0.0,0.0,0.0,0.0,5.864577697202128,0.0
24,0.0247,Ofenbach,happy,0.7979999999999999,0.828,2.55e-06,2,-5.36,1,37i9dQZF1DXdPec7aLTmlC,0.193,124.962,Head Shoulders Knees & Toes (feat. Norma Jean Martine),0.6,wonder,5.351858133476067,0.0,0.0,4.890349128221754,0.0,4.957000078263624,15.899947937601294,0.0,0.0
25,0.0469,Kane Brown,happy,0.727,0.626,2.58e-05,7,-8.415,1,37i9dQZF1DXdPec7aLTmlC,0.0726,86.97,Be Like That - feat. Swae Lee & Khalid,0.322,wonder,5.197707453648809,0.0,30.993611804645063,0.0,0.0,0.0,0.0,0.0,0.0
26,0.369,Clean Bandit,happy,0.779,0.705,7.91e-06,0,-3.895,1,37i9dQZF1DXdPec7aLTmlC,0.0344,101.022,Tick Tock (feat. 24kGoldn),0.946,wonder,14.839179076103706,0.0,4.914287539159937,0.0,0.0,4.551534970155459,19.578070151035735,0.0,0.0
27,0.0112,BTS,happy,0.746,0.765,0.0,6,-4.41,0,37i9dQZF1DXdPec7aLTmlC,0.0993,114.044,Dynamite,0.737,wonder,5.197707453648809,0.0,0.0,14.208595345183486,0.0,0.0,0.0,15.051839510444772,0.0
28,0.000817,Smith & Thell,happy,0.611,0.88,1.01e-05,7,-6.571000000000001,0,37i9dQZF1DXdPec7aLTmlC,0.0378,144.996,Year of the Young,0.7709999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.198,Martin Jensen,happy,0.794,0.706,0.0,5,-6.066,0,37i9dQZF1DXdPec7aLTmlC,0.0382,116.03200000000001,At Least I Had Fun,0.9079999999999999,wonder,6.045005314036012,0.0,0.0,5.583496308781699,0.0,5.650147258823569,0.0,0.0,0.0
