,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
2900,3496,The Lion Sleeps Tonight (Wimoweh),spotify:track:2F4FNcz68howQWD4zaGJSi,2F4FNcz68howQWD4zaGJSi,The Tokens,1499,0.321,0.474,5,1,0.743,0,121.199,0.804,0.0348,-9.383,sex
712,850,bad vibes forever,spotify:track:03eJ2DclFWXYU8GWgANdmZ,03eJ2DclFWXYU8GWgANdmZ,XXXTENTACION,49,0.8,0.526,8,1,0.33399999999999996,0.0017399999999999998,129.874,0.746,0.0716,-5.153,sad
1178,1517,Landscape,spotify:track:3rIQvaS9q2u6KXHQ40SnZs,3rIQvaS9q2u6KXHQ40SnZs,Jaztorius,594,0.642,0.455,6,0,0.579,0.598,74.996,0.107,0.0958,-10.904,sex
123,151,Broken,spotify:track:1SuznrYulmD8HMZrenI0VU,1SuznrYulmD8HMZrenI0VU,Lund,83,0.828,0.581,0,1,0.0423,0.0009029999999999999,133.999,0.145,0.0429,-2.659,sad
1064,1361,feelin this way,spotify:track:54mqE9EWDLk9oVSVEdUnMu,54mqE9EWDLk9oVSVEdUnMu,Chilly,556,0.668,0.621,0,1,0.00688,0.646,74.006,0.473,0.0655,-12.944,sex
426,512,Langste SMS,spotify:track:1FJah8YNDPaYIaFjsHNcK9,1FJah8YNDPaYIaFjsHNcK9,Frenna,225,0.812,0.805,8,1,0.198,1.91e-05,120.03399999999999,0.5539999999999999,0.0381,-4.853,sad
2019,2515,Breaking Up Is Hard to Do,spotify:track:7utoClKnLShFg6u6dZ20gp,7utoClKnLShFg6u6dZ20gp,Neil Sedaka,1050,0.742,0.674,8,0,0.788,0,116.53,0.9640000000000001,0.0354,-7.648,sex
2099,2595,(Love Is Like A) Heat Wave,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,3VgrSJEKBRT3xmwzpaxxEF,Martha Reeves & The Vandellas,1107,0.514,0.624,0,0,0.513,0.00517,166.726,0.755,0.0842,-9.287,sex
2013,2625,Habanera,spotify:track:1CLGo6oqv1ripBnBryPft8,1CLGo6oqv1ripBnBryPft8,Era,261,0.713,0.254,2,1,0.0517,0.222,127.024,0.35700000000000004,0.0451,-17.479,sad
742,913,Girls Need Love (with Drake) - Remix,spotify:track:0mfCH4nfpshBQR9ueZP5eP,0mfCH4nfpshBQR9ueZP5eP,Summer Walker,11,0.656,0.432,6,0,0.443,0,97.022,0.0897,0.217,-9.481,sex
2838,2838,Rock the Casbah - Remastered,spotify:track:56KqaFSGTb7ifpt16t5Y1N,56KqaFSGTb7ifpt16t5Y1N,The Clash,1216,0.796,0.872,9,0,0.287,0,129.894,0.866,0.0573,-6.722,party
2180,2180,Cumbia De La Cobra,spotify:track:68uupqD2ijA27hJxtvnsLH,68uupqD2ijA27hJxtvnsLH,Fito Olivares y Su Grupo,986,0.744,0.738,7,1,0.045,0.0134,98.14,0.924,0.0362,-7.282,party
1703,2144,Untitled (How Does It Feel),spotify:track:4M7JfCoIouDM1zlt6GipGD,4M7JfCoIouDM1zlt6GipGD,Matt Bomer,887,0.634,0.404,7,1,0.501,1.1e-06,112.116,0.391,0.0385,-6.764,sex
