,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
9220,Stan,spotify:track:4HkJZAJUvXmqGquwlXFTCu,4HkJZAJUvXmqGquwlXFTCu,0.781,0.77,6,0,0.0406,2.11e-06,80.052,0.495,0.23,-4.421,,sad
9222,Anziety,spotify:track:4YGzGGnOCahszVbDkkzP8q,4YGzGGnOCahszVbDkkzP8q,0.639,0.807,1,1,0.302,0,122.965,0.575,0.0655,-6.553,,sad
9224,This Town,spotify:track:3UwT4FadEGWyMdaSwYcUBY,3UwT4FadEGWyMdaSwYcUBY,0.678,0.398,6,0,0.738,0,111.833,0.202,0.0315,-8.413,,sad
9225,Issues (feat. Russ),spotify:track:5j2qzYh9IuMXi5xq6Yk02Q,5j2qzYh9IuMXi5xq6Yk02Q,0.655,0.642,9,1,0.203,2.3e-05,83.974,0.208,0.0729,-6.758,,sad
9227,Solo,spotify:track:4lH6nENd1y81jp7Yt9lTBX,4lH6nENd1y81jp7Yt9lTBX,0.784,0.486,5,0,0.0538,0.497,110.964,0.0894,0.0475,-6.497,,sad
9228,Give up on Me,spotify:track:30pDjS9dWjzGHDWaps25p5,30pDjS9dWjzGHDWaps25p5,0.659,0.74,2,1,0.172,0,89.042,0.427,0.243,-6.181,,sad
9229,Girl on a Train,spotify:track:6M1nfYPKy7DRk3IrhFVViQ,6M1nfYPKy7DRk3IrhFVViQ,0.711,0.678,9,1,0.219,0,94.04,0.615,0.0476,-6.398,,sad
9230,valley girls,spotify:track:5zI6ueoYshDD99aCEs66QG,5zI6ueoYshDD99aCEs66QG,0.574,0.456,2,0,0.395,0,149.945,0.182,0.0865,-9.435,,sad
9232,Bad At Love,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,7y9iMe8SOB6z3NoHE2OfXl,0.675,0.751,0,1,0.0604,0,118.384,0.612,0.0296,-3.539,,sad
9235,Drug Dealer (feat. Ariana DeBoo),spotify:track:2zM1k4PnL573ayLHqpQaQN,2zM1k4PnL573ayLHqpQaQN,0.494,0.612,11,0,0.678,0,151.091,0.216,0.291,-6.936,,sad
9236,Need Me (feat. Pink),spotify:track:6B2ERbVUDfIiUNXCWhjzFG,6B2ERbVUDfIiUNXCWhjzFG,0.695,0.661,10,1,0.00525,0,104.979,0.513,0.0645,-7.2,,sad
9237,I'd Hate To Be You When People Find Out What This Song Is About,spotify:track:2GqErXeaEUrFzlPs1S1SFW,2GqErXeaEUrFzlPs1S1SFW,0.416,0.86,7,1,0.000972,0,153.051,0.408,0.048,-3.94,,sad
9238,"You Be The Anchor That Keeps My Feet On The Ground, I'll Be The Wings That Keep Your Heart In The Clouds",spotify:track:5B7xzzpqgWY6sdiebvEVJA,5B7xzzpqgWY6sdiebvEVJA,0.261,0.592,7,1,0.0451,0,139.242,0.329,0.0317,-4.665,,sad
9240,The Break Up,spotify:track:39Jg5GEpMGXVGj85aXBCXZ,39Jg5GEpMGXVGj85aXBCXZ,0.771,0.713,9,0,0.00265,1.97e-06,130.095,0.235,0.0643,-6.755,,sad
9241,Bad Things (with Camila Cabello),spotify:track:1KzGj3xvi9IiY05kBlkm2G,1KzGj3xvi9IiY05kBlkm2G,0.697,0.691,2,1,0.214,0,137.853,0.305,0.146,-4.757,,sad
9244,"If You Wanted A Song Written About You, All You Had To Do Was Ask",spotify:track:1wVriKkwEG9veA5lhphOZE,1wVriKkwEG9veA5lhphOZE,0.505,0.717,2,1,3.9e-05,0,99.574,0.328,0.0307,-3.572,,sad
9245,Three Cheers For Five Years,spotify:track:3vITt13lN9mPIzoEFtQick,3vITt13lN9mPIzoEFtQick,0.496,0.507,11,1,0.601,0,139.869,0.396,0.0305,-5.449,,sad
9246,Terrible Things - EP Version,spotify:track:3ZjnFYlal0fXN6t61wdxhl,3ZjnFYlal0fXN6t61wdxhl,0.285,0.371,1,1,0.698,0.00392,154.989,0.372,0.0295,-6.833,,sad
9247,Your Song - EP Version,spotify:track:7va0FN5Fim1dNPi06sqxVx,7va0FN5Fim1dNPi06sqxVx,0.422,0.459,0,1,0.709,0.00338,144.895,0.227,0.0287,-5.341,,sad
9248,Like We Used To,spotify:track:1fkYmLPG2Oi2AkUmcspWKl,1fkYmLPG2Oi2AkUmcspWKl,0.363,0.71,2,1,0.216,0,170.113,0.383,0.0308,-3.08,,sad
9249,Remembering Sunday,spotify:track:5wfy4RalC2K42QXlltpxJE,5wfy4RalC2K42QXlltpxJE,0.449,0.602,6,0,0.149,0,170.04,0.32,0.0264,-4.8,,sad
9250,Here For Nothing,spotify:track:08xPi7YIEmjDkU2UFgQxKm,08xPi7YIEmjDkU2UFgQxKm,0.551,0.832,1,1,0.00272,4.82e-06,111.482,0.517,0.0437,-4.959,,sad
9252,Only You,spotify:track:5ZtfujhQIVRZm2RMZPQ3iD,5ZtfujhQIVRZm2RMZPQ3iD,0.467,0.506,9,1,0.648,3.21e-05,97.132,0.218,0.029,-9.271,,sad
9262,We Don't Have To Take Our Clothes Off - Remastered 2015,spotify:track:49GpGYGli1xcxovgYf0k4c,49GpGYGli1xcxovgYf0k4c,0.56,0.17,0,0,0.952,6.75e-06,94.956,0.303,0.0381,-9.317,,sad
9263,Outnumbered,spotify:track:4Ta3PhWmY50ZLU1uhKFKPE,4Ta3PhWmY50ZLU1uhKFKPE,0.614,0.684,0,1,0.247,0,156.85,0.258,0.157,-5.79,,sad
9269,Leave a Light On,spotify:track:4iVVU8DyQvOVsKafv3KWIF,4iVVU8DyQvOVsKafv3KWIF,0.585,0.625,5,1,0.0146,1.8e-06,68.68,0.28,0.109,-5.94,,sad
9278,Take Me To Church,spotify:track:3dYD57lRAUcMHufyqn9GcI,3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,0,0.634,0,128.945,0.437,0.0464,-5.303,,sad
9283,"Read All About It, Pt. III",spotify:track:1NrDot6zcivIjCVMFoe7uV,1NrDot6zcivIjCVMFoe7uV,0.63,0.44,2,1,0.822,3.87e-06,98.082,0.343,0.0249,-7.186,,sad
9287,Piece by Piece - Idol Version,spotify:track:3KbFtYPyVP6C7BQVgH2cCf,3KbFtYPyVP6C7BQVgH2cCf,0.561,0.245,1,1,0.904,0,109.558,0.402,0.0344,-6.372,,sad
9302,Take A Bow,spotify:track:39afswHs17v53znQm1gDTY,39afswHs17v53znQm1gDTY,0.708,0.47,9,1,0.248,0,82.007,0.536,0.0659,-7.59,,sad
9303,Better Half of Me,spotify:track:4VPlKUSjC9HdZdUbFZ0Y5y,4VPlKUSjC9HdZdUbFZ0Y5y,0.586,0.447,3,1,0.816,0,107.851,0.441,0.0287,-4.699,,sad
9308,The One That Got Away - Acoustic,spotify:track:4FFSK1xgCLkTZJLUERLZKG,4FFSK1xgCLkTZJLUERLZKG,0.712,0.44,4,1,0.678,0,123.958,0.312,0.0413,-11.566,,sad
9312,Because of You,spotify:track:0gJvqi9QyASOCtJu99tytc,0gJvqi9QyASOCtJu99tytc,0.587,0.583,5,0,0.248,0,139.92,0.15,0.0313,-5.284,,sad
9314,Broken Strings,spotify:track:6jBUP2KCe821yqf1hiBqPR,6jBUP2KCe821yqf1hiBqPR,0.57,0.717,1,1,0.00967,0,111.91,0.321,0.029,-4.914,,sad
9317,Chasing Pavements,spotify:track:2OuNgtXKeCSORKqdl0MxKk,2OuNgtXKeCSORKqdl0MxKk,0.614,0.47,5,0,0.291,0,80.045,0.329,0.0255,-6.09,,sad
9318,Hey There Delilah,spotify:track:4RCWB3V8V0dignt99LZ8vH,4RCWB3V8V0dignt99LZ8vH,0.656,0.291,2,1,0.872,0,103.971,0.298,0.0293,-10.572,,sad
9320,Halo,spotify:track:2CvOqDpQIMw69cCzWqr5yr,2CvOqDpQIMw69cCzWqr5yr,0.422,0.712,11,0,0.273,0,78.454,0.471,0.1,-5.907,,sad
9321,She Will Be Loved - Radio Mix,spotify:track:4llK75pXNWZz6KAho2Gp16,4llK75pXNWZz6KAho2Gp16,0.651,0.663,0,0,0.228,0,102.0,0.465,0.0281,-5.569,,sad
9323,Never Enough,spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J,0Gl5s8IhMmQE5YQwM8Qx1J,0.277,0.394,8,1,0.423,0,86.777,0.227,0.0336,-8.903,,sad
9324,A Moment Like This,spotify:track:5i9UKSttY3V7x9OnYZsMBX,5i9UKSttY3V7x9OnYZsMBX,0.265,0.563,8,1,0.423,7.99e-06,70.529,0.168,0.0302,-3.667,,sad
9326,Gotta Go My Own Way,spotify:track:6MmGGt46TqCOVFHuahd5Ai,6MmGGt46TqCOVFHuahd5Ai,0.467,0.694,9,1,0.106,1.8e-05,88.902,0.308,0.0297,-4.984,,sad
9328,Butterfly Fly Away,spotify:track:6BubvX05pun9ZjAOtkEYQb,6BubvX05pun9ZjAOtkEYQb,0.613,0.286,11,1,0.733,0.000181,134.938,0.431,0.0259,-12.609,,sad
9330,Rewrite The Stars,spotify:track:630sXRhIcfwr2e4RdNtjKN,630sXRhIcfwr2e4RdNtjKN,0.684,0.619,10,1,0.0716,0,125.046,0.284,0.0386,-7.005,,sad
9331,This Is Me,spotify:track:2xGjteMU3E1tkEPVFBO08U,2xGjteMU3E1tkEPVFBO08U,0.284,0.704,2,1,0.00583,0.000115,191.702,0.1,0.186,-7.276,,sad
9332,Power Over Me,spotify:track:4tViDtaHuSLnh7HVJTrKhs,4tViDtaHuSLnh7HVJTrKhs,0.319,0.841,9,0,0.0518,0,173.868,0.483,0.147,-4.232,,sad
9333,If I Die Young (Glee Cast Version),spotify:track:1REX2q4Fverp8zH7KuSeZC,1REX2q4Fverp8zH7KuSeZC,0.717,0.382,4,1,0.83,0,130.843,0.358,0.036,-7.782,,sad
9334,Angels,spotify:track:1M2nd8jNUkkwrc1dgBPTJz,1M2nd8jNUkkwrc1dgBPTJz,0.429,0.594,4,1,0.156,4.95e-06,150.22,0.236,0.0277,-6.251,,sad
9335,What About Now,spotify:track:22rCn97HtEuSRNIPHhh78e,22rCn97HtEuSRNIPHhh78e,0.325,0.8,9,0,0.00957,0,161.875,0.373,0.0404,-3.636,,sad
9337,Addicted to You,spotify:track:1snx5tOQTxN49AyEqMYopU,1snx5tOQTxN49AyEqMYopU,0.644,0.776,9,1,0.425,0,119.961,0.67,0.0698,-6.263,,sad
9338,Hello My Love,spotify:track:3gGFpZEBUrDT0pGAhStavU,3gGFpZEBUrDT0pGAhStavU,0.683,0.713,5,1,0.153,0,121.963,0.219,0.0398,-4.584,,sad
9339,Walk Me Home,spotify:track:6jfEZdUJ2Yla6h7gTJgKuo,6jfEZdUJ2Yla6h7gTJgKuo,0.652,0.453,1,1,0.0519,0,88.038,0.432,0.0445,-6.119,,sad
9340,Better Man,spotify:track:34D9vWLSPmxD1c3yx3wUAu,34D9vWLSPmxD1c3yx3wUAu,0.616,0.636,11,1,0.415,0,74.855,0.584,0.0394,-3.846,,sad
9341,Follow Your Fire,spotify:track:5ESJINHtOXLh3KSsazEfRf,5ESJINHtOXLh3KSsazEfRf,0.449,0.602,11,0,0.00756,0,175.974,0.432,0.0724,-6.689,,sad
9342,What Makes a Man,spotify:track:3W2QKq6ks7QInnM9j4pOBt,3W2QKq6ks7QInnM9j4pOBt,0.504,0.535,11,1,0.0879,0,137.019,0.326,0.0276,-6.183,,sad
9343,Giant (with Rag'n'Bone Man),spotify:track:5itOtNx0WxtJmi1TQ3RuRd,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,1,0,0.016,0.000503,122.015,0.606,0.0361,-4.311,,sad
