,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID
27773,http://www.billboard.com/charts/hot-100/1998-10-10,10/10/1998,63,No Fool No More,En Vogue,No Fool No MoreEn Vogue,1,,63,1,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1
27774,http://www.billboard.com/charts/hot-100/1999-06-26,6/26/1999,63,I Could Not Ask For More,Edwin McCain,I Could Not Ask For MoreEdwin McCain,1,,63,1,spotify:track:14J3PO0VnhtcRa31r7Aj1L
27775,http://www.billboard.com/charts/hot-100/1999-08-28,8/28/1999,63,Mambo No. 5 (A Little Bit Of...),Lou Bega,Mambo No. 5 (A Little Bit Of...)Lou Bega,1,,63,1,spotify:track:6x4tKaOzfNJpEJHySoiJcs
27776,http://www.billboard.com/charts/hot-100/2000-03-18,3/18/2000,63,He Wasn't Man Enough,Toni Braxton,He Wasn't Man EnoughToni Braxton,1,,63,1,spotify:track:7f1Dmr246cJ9uQYdbplTbh
27777,http://www.billboard.com/charts/hot-100/2000-04-15,4/15/2000,63,I Don't Wanna Kiss You Goodnight,LFO,I Don't Wanna Kiss You GoodnightLFO,1,,63,1,spotify:track:16TZZy0lkwb5CoygaBzUbi
27778,http://www.billboard.com/charts/hot-100/2000-07-01,7/1/2000,63,I Think I'm In Love With You,Jessica Simpson,I Think I'm In Love With YouJessica Simpson,1,,63,1,spotify:track:34PsixEmIceg39NpaYxBsH
27779,http://www.billboard.com/charts/hot-100/2001-09-22,9/22/2001,63,Gone,'N Sync,Gone'N Sync,1,,63,1,spotify:track:4CCUjYJPbSXLL23BFeBVbI
27780,http://www.billboard.com/charts/hot-100/2002-03-23,3/23/2002,63,Here Is Gone,Goo Goo Dolls,Here Is GoneGoo Goo Dolls,1,,63,1,spotify:track:4KqTGPPmXowMPEoShSVOta
27781,http://www.billboard.com/charts/hot-100/2002-04-20,4/20/2002,63,Hella Good,No Doubt,Hella GoodNo Doubt,1,,63,1,spotify:track:1CsUH29MaAIMbfGh4FEG4w
27784,http://www.billboard.com/charts/hot-100/2004-02-14,2/14/2004,63,Hold On,Good Charlotte,Hold OnGood Charlotte,1,,63,1,spotify:track:3UyL1yzD5B1nIaFJRs4W8r
27785,http://www.billboard.com/charts/hot-100/2004-09-04,9/4/2004,63,Flap Your Wings,Nelly,Flap Your WingsNelly,1,,63,1,spotify:track:4rY3KONqdimczgu2NhxI8k
27787,http://www.billboard.com/charts/hot-100/2005-08-06,8/6/2005,63,Like You,Bow Wow Featuring Ciara,Like YouBow Wow Featuring Ciara,1,,63,1,spotify:track:0aoOyPtOvWQs6BnGnbFUlj
27788,http://www.billboard.com/charts/hot-100/2007-12-29,12/29/2007,63,If I Had Eyes,Jack Johnson,If I Had EyesJack Johnson,1,,63,1,spotify:track:3FnkZFv7kbxwlgaLgbqeDc
27789,http://www.billboard.com/charts/hot-100/2008-10-11,10/11/2008,63,Krazy,Pitbull Featuring Lil Jon,KrazyPitbull Featuring Lil Jon,1,,63,1,spotify:track:5knxa9j29AigAUHKxnB7m5
27790,http://www.billboard.com/charts/hot-100/2009-07-04,7/4/2009,63,Hotel Room Service,Pitbull,Hotel Room ServicePitbull,1,,63,1,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL
27791,http://www.billboard.com/charts/hot-100/2009-12-19,12/19/2009,63,Last Christmas,Glee Cast,Last ChristmasGlee Cast,1,,63,1,spotify:track:0fUFpFczhuhJBz2Z28IL2x
27792,http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,63,In My Head,Jason Derulo,In My HeadJason Derulo,1,,63,1,spotify:track:5BoIP8Eha5hwmRVURkC2Us
27794,http://www.billboard.com/charts/hot-100/2010-07-17,7/17/2010,63,Jar Of Hearts,Christina Perri,Jar Of HeartsChristina Perri,1,,63,1,spotify:track:0HZhYMZOcUzZKSFwPOti6m
