,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
28,Caught in the Middle,spotify:track:7aKCwhBjb8zuTEBGzf48Qm,7aKCwhBjb8zuTEBGzf48Qm,Alexander 23,27,0.712,0.394,7,1,0.737,9.14e-05,97.876,0.298,0.0347,-8.313,chill
29,My Oasis (feat. Burna Boy),spotify:track:2KoHxhRyWxJzA0VafWd5Nk,2KoHxhRyWxJzA0VafWd5Nk,Sam Smith,28,0.691,0.474,10,0,0.569,0.000626,143.783,0.381,0.0583,-8.742,chill
30,Young Heart,spotify:track:34doO7AMIw782WUAprziug,34doO7AMIw782WUAprziug,Kara Marni,29,0.558,0.647,1,0,0.314,0,130.016,0.496,0.0584,-4.495,chill
31,I Should Probably Go To Bed,spotify:track:5ovVcYo2MvjVydFwFyaaqy,5ovVcYo2MvjVydFwFyaaqy,Dan + Shay,30,0.721,0.277,1,1,0.634,0,131.935,0.309,0.0365,-7.128,chill
32,If I Wunna,spotify:track:5xsBxt4LT9mT0lJncUFpO1,5xsBxt4LT9mT0lJncUFpO1,Toulouse,31,0.783,0.336,7,0,0.169,1.11e-05,109.997,0.391,0.0824,-14.397,chill
33,The feelings tend to stay the same,spotify:track:4WwynJRKVuJzMgew9ptoDe,4WwynJRKVuJzMgew9ptoDe,Curtis Waters,32,0.804,0.561,7,1,0.0478,0.000168,130.004,0.763,0.0357,-7.858,chill
34,my future,spotify:track:2ygvZOXrIeVL4xZmAWJT2C,2ygvZOXrIeVL4xZmAWJT2C,Billie Eilish,33,0.444,0.309,8,1,0.795,0.132,104.745,0.0875,0.062,-10.956,chill
35,cardigan,spotify:track:4R2kfaDFhslZEMJqAFNpdd,4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,34,0.613,0.581,0,0,0.537,0.000345,130.033,0.551,0.0424,-8.588,chill
36,UN DIA (ONE DAY) (Feat. Tainy),spotify:track:0EhpEsp4L0oRGM0vmeaN5e,0EhpEsp4L0oRGM0vmeaN5e,J Balvin,35,0.571,0.693,6,0,0.00536,0,168.169,0.393,0.0545,-8.234,chill
37,Put In Work (with Chris Brown),spotify:track:6rij5OZoU4FSA2lTbFmRgi,6rij5OZoU4FSA2lTbFmRgi,Jacquees,36,0.6,0.678,10,0,0.0491,0,136.858,0.494,0.13,-5.227,chill
