,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
3443,Take On Me - MTV Unplugged,spotify:track:7htt7UuxHL5wneOcMWJP5E,7htt7UuxHL5wneOcMWJP5E,0.472,0.204,9,1,0.966,4.12e-05,129.504,0.296,0.0408,-13.419,a-ha,sad
3444,Take Me Down,spotify:track:5NFV5HquTXQXR3q384YMhc,5NFV5HquTXQXR3q384YMhc,0.404,0.398,7,1,0.205,0.0125,75.867,0.251,0.0289,-9.907,Gary Clark Jr.,sad
3445,Slow It Down,spotify:track:66nJBHV6WtQI3IiU6n8fY5,66nJBHV6WtQI3IiU6n8fY5,0.428,0.064,1,1,0.929,0,142.436,0.108,0.0374,-14.42,The Lumineers,sad
3446,Leave the City,spotify:track:5HCXMBxZIVaVLXpyoqPM3g,5HCXMBxZIVaVLXpyoqPM3g,0.506,0.379,4,0,0.726,0.00458,134.985,0.299,0.0334,-11.64,Twenty One Pilots,sad
3447,Medicine,spotify:track:7H8fBamGUheu0DSpp3pj03,7H8fBamGUheu0DSpp3pj03,0.243,0.313,3,1,0.115,0.237,92.975,0.22,0.0285,-12.069,Daughter,sad
3448,Burn,spotify:track:20AsPHXw2ZwKCnBcz7jSDB,20AsPHXw2ZwKCnBcz7jSDB,0.485,0.0534,2,0,0.978,0.0582,135.901,0.256,0.0351,-19.351,Cody Crump,sad
3449,Sleep Apnea,spotify:track:34LohAliZ2QKydqVJcFpwV,34LohAliZ2QKydqVJcFpwV,0.552,0.686,2,1,0.139,0.861,79.983,0.495,0.0268,-10.63,Beach Fossils,sad
3450,Fallingforyou,spotify:track:2TgxCUZdHFkPEVmFge1OSd,2TgxCUZdHFkPEVmFge1OSd,0.264,0.285,1,1,0.892,0.000471,84.825,0.0776,0.0385,-15.208,The 1975,sad
3451,Death & Taxes,spotify:track:7HnkUNPrhRurdGEm9nRYFH,7HnkUNPrhRurdGEm9nRYFH,0.448,0.328,7,1,0.803,9.34e-05,113.941,0.209,0.0351,-11.132,Daniel Caesar,sad
3453,Swimming In A Cage,spotify:track:0H7cCVM67PhU3U0UQQkWVd,0H7cCVM67PhU3U0UQQkWVd,0.559,0.0174,4,1,0.766,0.000258,137.698,0.231,0.0684,-22.225,Andy Shauf,sad
3454,Carrie & Lowell,spotify:track:5puPIY11QYhuuQJ9T7vND0,5puPIY11QYhuuQJ9T7vND0,0.551,0.248,9,0,0.962,0.575,98.972,0.266,0.0458,-23.095,Sufjan Stevens,sad
