,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
27,Savage Remix (feat. Beyoncé),spotify:track:5v4GgrXPMghOnBBLmveLac,5v4GgrXPMghOnBBLmveLac,Megan Thee Stallion,20,0.822,0.743,10,0,0.016,0.0,84.459,0.636,0.28,-4.772,angry
28,POWER,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,2gZUPNdnz5Y45eiGxpHGSc,Kanye West,22,0.542,0.914,0,0,0.0161,0.0,153.993,0.576,0.113,-4.747,angry
29,'Till I Collapse,spotify:track:4xkOaSrkexMciUUogZKVTS,4xkOaSrkexMciUUogZKVTS,Eminem,23,0.548,0.847,1,1,0.0622,0.0,171.447,0.1,0.186,-3.237,angry
30,X Gon' Give It To Ya,spotify:track:1zzxoZVylsna2BQB65Ppcb,1zzxoZVylsna2BQB65Ppcb,DMX,24,0.761,0.899,10,0,0.0135,0.0,95.027,0.673,0.183,-3.09,angry
31,6 Foot 7 Foot,spotify:track:0z5ZPs57J2KERwM1tBM2GF,0z5ZPs57J2KERwM1tBM2GF,Lil Wayne,25,0.365,0.751,2,1,0.000707,0.0,79.119,0.604,0.304,-5.429,angry
32,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",spotify:track:7xVLFuuYdAvcTfcP3IG3dS,7xVLFuuYdAvcTfcP3IG3dS,A$AP Ferg,26,0.841,0.733,1,1,0.0246,0.0,130.009,0.284,0.142,-5.077,angry
33,Trophies,spotify:track:6HfOzLLjsaXsehIFEsrxTk,6HfOzLLjsaXsehIFEsrxTk,Young Money,27,0.746,0.687,1,1,0.155,0.0,143.931,0.283,0.382,-7.475,angry
34,DNA.,spotify:track:6HZILIRieu8S0iqY8kIKhj,6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,28,0.638,0.523,1,1,0.00454,0.0,139.913,0.422,0.357,-6.664,angry
35,Cinderella Man,spotify:track:4SE4yewyGpOYfxfx59Yjc5,4SE4yewyGpOYfxfx59Yjc5,Eminem,23,0.679,0.908,8,1,0.234,0.0,85.918,0.687,0.202,-3.411,angry
36,Forever,spotify:track:5UsLjwBaTHBX4ektWIr4XX,5UsLjwBaTHBX4ektWIr4XX,Drake,12,0.457,0.906,5,0,0.249,0.0,104.02,0.54,0.342,-2.278,angry
